pesquisador,especie,altura,largura
3,Alsophila sp.,"11,71","5,10"
5,Alsophila sp.,"11,30","6,00"
2,Alsophila sp.,"10,98","5,20"
5,Alsophila sp.,"14,01","3,50"
3,Alsophila sp.,"12,10","5,80"
3,Araucaria angustifolia,"62,10","24,20"
3,Araucaria angustifolia,"28,01","20,30"
5,Araucaria angustifolia,"35,33","18,10"
5,Araucaria angustifolia,"81,84","22,80"
2,Araucaria angustifolia,"10,25","9,40"
5,Araucaria angustifolia,"12,06","13,60"
5,Araucaria angustifolia,"16,71","14,10"
3,Araucaria angustifolia,"9,71","9,70"
2,Araucaria angustifolia,"12,67","15,20"
3,Araucaria angustifolia,"12,99","11,10"
3,Araucaria angustifolia,"11,62","15,30"
1,Araucaria angustifolia,"10,73","10,90"
2,Banara parviflora,"21,33","18,90"
2,Blepharocalyx salicifolius,"67,26","21,90"
6,Blepharocalyx salicifolius,"58,98","23,70"
4,Blepharocalyx salicifolius,"33,84","21,40"
3,Blepharocalyx salicifolius,"38,99","26,10"
5,Blepharocalyx salicifolius,"47,91","22,50"
2,Blepharocalyx salicifolius,"33,33","22,50"
3,Blepharocalyx salicifolius,"32,15","19,90"
2,Blepharocalyx salicifolius,"59,33","24,40"
3,Blepharocalyx salicifolius,"39,44","22,80"
6,Blepharocalyx salicifolius,"57,04","23,50"
1,Blepharocalyx salicifolius,"59,94","24,10"
5,Blepharocalyx salicifolius,"35,01","20,50"
1,Blepharocalyx salicifolius,"20,47","17,60"
6,Blepharocalyx salicifolius,"25,15","21,20"
4,Blepharocalyx salicifolius,"51,69","23,90"
4,Blepharocalyx salicifolius,"51,09","25,40"
3,Blepharocalyx salicifolius,"39,50","24,50"
4,Blepharocalyx salicifolius,"38,64","22,60"
6,Blepharocalyx salicifolius,"38,99","21,30"
1,Blepharocalyx salicifolius,"34,98","17,30"
4,Blepharocalyx salicifolius,"9,71","10,90"
4,Blepharocalyx salicifolius,"27,09","18,90"
6,Blepharocalyx salicifolius,"60,64","23,40"
2,Blepharocalyx salicifolius,"34,47","19,10"
4,Blepharocalyx salicifolius,"26,83","16,60"
2,Blepharocalyx salicifolius,"35,65","20,50"
5,Blepharocalyx salicifolius,"45,20","21,00"
1,Blepharocalyx salicifolius,"16,81","18,50"
3,Blepharocalyx salicifolius,"39,73","24,00"
4,Blepharocalyx salicifolius,"22,19","16,00"
1,Blepharocalyx salicifolius,"61,43","21,80"
2,Blepharocalyx salicifolius,"12,29","12,30"
4,Blepharocalyx salicifolius,"30,21","19,30"
6,Blepharocalyx salicifolius,"45,36","21,80"
3,Blepharocalyx salicifolius,"19,10","15,40"
2,Blepharocalyx salicifolius,"28,84","17,70"
1,Blepharocalyx salicifolius,"105,10","18,10"
3,Blepharocalyx salicifolius,"159,70","23,50"
2,Blepharocalyx salicifolius,"36,00","12,80"
4,Blepharocalyx salicifolius,"95,00","14,10"
3,Blepharocalyx salicifolius,"35,50","13,10"
3,Blepharocalyx salicifolius,"112,80","18,70"
3,Blepharocalyx salicifolius,"174,60","24,00"
2,Blepharocalyx salicifolius,"104,00","19,30"
4,Blepharocalyx salicifolius,"62,00","16,80"
1,Blepharocalyx salicifolius,"73,30","18,00"
1,Calyptranthes concinna,"45,00","11,30"
6,Calyptranthes concinna,"45,80","9,60"
2,Calyptranthes concinna,"32,00","7,70"
4,Calyptranthes concinna,"40,10","12,80"
6,Calyptranthes concinna,"32,40","9,00"
1,Calyptranthes concinna,"33,30","10,40"
6,Calyptranthes concinna,"72,80","13,80"
1,Calyptranthes concinna,"56,60","11,60"
5,Calyptranthes concinna,"41,00","8,90"
4,Calyptranthes concinna,"52,70","8,70"
2,Calyptranthes concinna,"41,00","13,10"
3,Calyptranthes concinna,"38,60","12,30"
4,Campomanesia  rhombea,"89,20","14,10"
2,Campomanesia  rhombea,"30,50","10,90"
5,Campomanesia  rhombea,"36,00","11,50"
1,Campomanesia  rhombea,"38,70","12,90"
6,Campomanesia  rhombea,"114,30","12,50"
1,Campomanesia  rhombea,"58,70","11,40"
4,Campomanesia  rhombea,"44,50","10,00"
6,Campomanesia  rhombea,"39,00","14,90"
6,Campomanesia  rhombea,"75,50","2,50"
2,Campomanesia rhombea,"31,20","12,70"
5,Campomanesia rhombea,"103,00","15,90"
5,Campomanesia rhombea,"93,90","17,70"
5,Campomanesia rhombea,"41,50","14,20"
2,Campomanesia rhombea,"100,10","16,60"
6,Campomanesia rhombea,"37,50","10,10"
2,Campomanesia rhombea,"33,20","15,80"
3,Campomanesia rhombea,"129,00","15,50"
6,Campomanesia xanthocarpa,"95,50","12,90"
1,Campomanesia xanthocarpa,"102,80","20,30"
6,Campomanesia xanthocarpa,"32,30","11,00"
3,Campomanesia xanthocarpa,"43,50","11,30"
5,Campomanesia xanthocarpa,"63,50","15,80"
3,Campomanesia xanthocarpa,"49,30","18,50"
2,Campomanesia xanthocarpa,"70,50","18,90"
5,Campomanesia xanthocarpa,"47,00","13,10"
5,Campomanesia xanthocarpa,"101,10","17,70"
2,Campomanesia xanthocarpa,"51,50","11,20"
5,Campomanesia xanthocarpa,"50,00","14,10"
